НАЗВА,КРАЇНА ,Програма,Ступінь ,Ціна,Початок навчання,Стипендії,Тривалість,Форма навчання,Опис прог
University of Cambridge ,Велика Британія,Mathematics,Бакалавр,"9,250 £",Вересень ,?,3-4 роки,Денна,"Гнучкість: курс, який підходить вам

Два аспекти курсу, які наші студенти дуже цінують, - це його гнучкість та широта пропонованих предметів. Кількість вибору збільшується з кожним роком, і після 1-го року ви можете вибрати кількість варіантів, які ви вивчаєте. Деякі студенти беруть якомога більше варіантів; інші беруть менше і вивчають їх дуже ретельно.

Ця структура дозволяє вам залишати свої варіанти відкритими, даючи вам можливість виявити свої сильні сторони, розширити свої знання та розвинути свої інтереси перед спеціалізацією.

Наш факультет

Оскільки сер Ісаак Ньютон був професором Лукасії (1669-96), викладання математики та дослідження тут розширювались завдяки ряду чудових математиків, включаючи шість польових медалістів і навіть лауреатів Нобелівської премії. Більшість нинішніх членів факультету є провідними міжнародними авторитетами з цього питання.

Наш факультет також тісно пов'язаний з Інститутом Ісаака Ньютона, який залучає спеціалістів з усього світу для вирішення видатних проблем математичних наук."
University of Cambridge ,Велика Британія,Engineering,Бакалавр,"9,250 £",Вересень ,?,4 роки,Денна,"""Кембриджський інженерний курс є унікальним. Це дозволяє вам залишати свої варіанти відкритими, оснащуючи вас усіма аналітичними, конструкторськими та обчислювальними навичками, які лежать в основі сучасної інженерної практики.

Частина I (1 і 2 роки) забезпечує широку освіту в галузі інженерних основ, що дає змогу зробити по-справжньому обґрунтований вибір сфери, в якій слід спеціалізуватися, починаючи з третього курсу (в результаті багато студентів змінюють напрямок). Частина II (3 та 4 роки) надає поглиблене навчання з обраної вами професійної дисципліни.

Наступні спеціалізації доступні в рамках нашого інженерного курсу:

Аерокосмічна та аеротермальна техніка
Біоінженерія
Цивільна, будівельна та екологічна інженерія
Електрична та електронна інженерія
Електричні та інформаційні науки
Енергетика, стійкість та довкілля
Інформаційно-обчислювальна техніка
Приладобудування та контроль
Машинобудування"""
University of Cambridge ,Велика Британія,Chemical Engineering,Магістратура,"10,680 £",Вересень,?,11 місяців,Денна,"Програма - це денний курс, який займає 11 місяців, і має наступну структуру:

Студенти приїжджають до резиденції коледжу наприкінці вересня / на початку жовтня. Протягом перших двох термінів студенти беруть загалом десять навчальних модулів, вибір яких включає комбінацію основних модулів хімічної інженерії та модулів за вибором, заснованих на інженерії та предметах, пов’язаних з бізнесом / управлінням. Протягом березня - серпня студенти проводять штатний дослідницький проект, результати якого подаються як дисертація.

Завданнями програми є:

забезпечити студентів передовими технічними навичками хімічної інженерії;
дати можливість студентам вирішувати проблеми в середовищі інженерного типу;
забезпечити студентів діловими та управлінськими навичками; і
забезпечити навчання в галузі досліджень."
University of Cambridge ,Велика Британія,Machine Learning and Machine Intelligence,Магістратура,"10,680 £",Вересень ,?,11 місяців,Денна,"Це 11-місячна програма MPhil, яку викладають у нашому Відділі інформаційної інженерії, з унікальним спільним акцентом як на машинному навчанні, так і на машинному інтелекті, включаючи мовно-мовні технології та комп’ютерне бачення. Курс спрямований на вивчення сучасного рівня машинного навчання та машинного інтелекту; надати студентам навички та знання, необхідні для того, щоб обіймати провідні ролі у галузі; та забезпечити студентів дослідницькими навичками, необхідними для докторантури."
University of Cambridge ,Велика Британія,Computer Science,Магістратура,"10,680 £",Вересень ,?,9 місяців,Денна,"Метою курсу є підготовка, необхідна для проведення докторської програми з інформатики. Студенти вибирають п’ять модулів, що викладаються, з широкого кола передових тем з інформатики, від мережевих та системних вимірювань до теорії категорій та тем з обробки природних мов. Студенти також можуть вибрати з підбору тем, запозичених у Департаменті техніки. Крім того, студенти проходять обов’язковий, не оцінений курс вивчення навичок дослідження, який включає основні та необов’язкові теми.

Студенти також проводять дослідницький проект протягом двох термінів і подають звіт про проект на початку червня. Вибір і планування теми дослідження відбувається в перший термін, а робота проводиться в наступні терміни. Викладаються модулі поставляються в різних стилях. Наприклад, існують традиційні лекційні курси, лекційні курси з відповідними практичними заняттями, читацькі клуби та модулі стилю семінару.

Курс спрямований на:

дати студентам, які мають відповідний досвід на рівні першого ступеня, можливість проводити спрямовані дослідження з дисципліни;
дати студентам можливість набути або розвинути навички та знання, що відповідають їх науковим інтересам;
забезпечити підготовку, відповідну для виконання кандидатської програми з інформатики;
забезпечити факультет тривалим періодом, протягом якого можна буде навчати студентів, а потім судити про придатність студентів для докторантури; і
запропонувати кваліфікацію, яка є цінною і дуже придатною для продажу, що надає своїм випускникам навичок та досвіду, щоб грати провідну роль у наукових дослідженнях у промисловості та державному секторі."
University of Cambridge ,Велика Британія,Geography,Магістратура,"10,680 £",Вересень,?,12 місяців,Денна,"MPhil in Geography - це 12-місячна денна програма досліджень, яка знайомить студентів з дослідницькими навичками та спеціалізованими знаннями.

Курс спрямований на розвиток загальних переданих навичок та виступає мостом між першим ступенем та доктором наук. У процесі супервізії та написання дисертації на ступінь магістра студенти розвивають свої вміння оцінювати контрастні теорії, пояснення та політику; збір, критичне судження, оцінка та інтерпретація різних форм доказів; підготовка карт та діаграм; використання різних методів збору та аналізу просторової та екологічної інформації; поєднання та інтерпретація різних типів доказів для вирішення конкретних проблем; та визнання етичного та морального вимірів навчання.

Його основними цілями є:

надати студентам з відповідним досвідом на рівні першого ступеня можливість проводити цілеспрямовані дослідження з дисципліни під пильним наглядом;
надати студентам можливість набути або розвинути навички та знання, що відповідають їх науковим інтересам;
дозволяють ретельно проаналізувати існуючі оригінальні дані досліджень."
University of Cambridge ,Велика Британія,Mathematics,Магістратура,"10,680 £",Вересень,?,9 місяців,Денна,"Цей курс, який зазвичай називають Частиною III, є дев'ятимісячним магістерським курсом з математики. Це відмінна підготовка до математичних досліджень, а також це цінний курс математики та її застосувань для тих, хто хоче пройти подальше навчання, перш ніж займати посади в галузях, навчальних закладах чи наукових закладах.

Студенти, прийняті з-за меж Кембриджа, на навчання за Частиною III у напрямку магістра поглибленого навчання (MASt) Студенти, які продовжують курс з Кембриджського трипосу на четвертий курс навчання до магістра математики (MMath). Вимоги та структура курсу до Частини III однакові для всіх студентів, незалежно від того, навчаються вони за ступенем MASt або MMath.

Щороку навчається близько 250 студентів Частини III (MASt та MMath); майже всі навчаються на четвертому чи п’ятому курсі університету. Щороку факультет пропонує до 80 курсів лекцій з частини III, що охоплюють широкий спектр чистої математики, ймовірності, статистики, прикладної математики та теоретичної фізики. Вони призначені для охоплення тих ускладнених частин предметів, які зазвичай не охоплюються курсом першого ступеня, але є необхідним попереднім для самостійного вивчення та дослідження. Студенти мають широкий вибір поєднання курсів, які вони беруть, хоча, природно, вони, як правило, обирають групи спільних курсів. Приклади класів та відповідне маркування (неоцінених) прикладних аркушів надаються як додаткова підтримка лекцій.

Як навчальний курс магістрів, основний акцент робиться на лекційних курсах, а оцінка майже повністю базується на іспитах, які складаються в кінці навчального року, починаючи з останнього тижня травня. Стандартні дати випуску для успішних кандидатів - у червні та липні."
University of Cambridge ,Велика Британія,Economics,Магістратура,"10,680 £",Вересень,?,11 місяців,Денна,"Магістр економіки - це однорічний ступінь магістра, яка триває з середини вересня до кінця червня або кінця липня, залежно від того, чи студенти вирішать подати дисертацію. Цей ступінь спеціально призначений для кандидатів, які зацікавлені в здобутті ступеня магістра, який забезпечить їм технічну підготовку, необхідну для просування кар’єри професійного економіста, який працює, скажімо, в Урядовій економічній службі Великобританії чи економічній консультації."
University of Cambridge ,Велика Британія,Scientific Computing,Магістратура,"10,680 £",Вересень,?,12 місяців,Денна,"Програма MPhil з наукових обчислень базується на кафедрі фізики та являє собою денний 12-місячний курс, який має на меті забезпечити освіту найвищої якості на рівні магістра. Висвітлюючи теми високопродуктивних наукових обчислень та передових чисельних методів і технік, вона дає аспірантам суворих дослідницьких та аналітичних навичок, які добре підготовлені для докторських досліджень або безпосередньо на роботу в промисловості, професіях та державній службі. Він також забезпечує навчання для академічних дослідників і викладачів майбутнього, заохочуючи пошук досліджень в галузі обчислювальних методів для науково-технічних дисциплін, тим самим є важливим шлюзом для вступу на програми кандидатів наук, що містять істотний компонент обчислювального моделювання.

Курс має дослідницький та навчальний елемент. Елемент дослідження - це проект на наукову або технологічну тему, який вивчається за допомогою наукових обчислень. Елемент, що викладається, складається з основних лекційних курсів на теми наукових обчислень та факультативних лекційних курсів, що відповідають науковій або технологічній темі проекту. Очікується, що для більшості проектів буде використана високопродуктивна обчислювальна служба університету."
University of Cambridge ,Велика Британія,Engineering,Магістратура,"10,680 £",Вересень,?,12 місяців,Денна,"MPhil пропонується Департаментом техніки як очний річний курс досліджень, який знайомить студентів з дослідницькими навичками та спеціальними знаннями. Його основними цілями є:

надати студентам, які мають відповідний досвід на рівні першого ступеня, можливість проводити цілеспрямовані дослідження під пильним наглядом з інженерної дисципліни; і
надати студентам можливість набути або розвинути навички та знання, що відповідають їх науковим інтересам.
Цей загальний MPhil є дуже гнучким і може бути адаптований до конкретних інтересів кожного студента за умови наявності відповідного керівника. Потенційні заявники повинні зв’язатися з потенційними керівниками до подання заявки, щоб визначити життєздатність запропонованого ними предмету дослідження та здатність керівника прийняти студента магістерської програми."
University of London,Велика Британія,Planetary Science,Бакалавр,"9,500 £",Вересень ,?,3 роки,Денна,"Вас навчатимуть науковці, які активно займаються передовими планетарними дослідженнями, що розширюють межі знань. Ми охоплюємо планетарні поверхні та дистанційне зондування, вулканічну активність на Землі та інших планетах, природу комет, астероїдів та метеоритів, а також внутрішню будову та походження планет. Ми також пропонуємо вдосконалені модулі з астрономії, наукових обчислень та проектування аналогової польової місії та участі в ній. Ви можете вибрати з цілого ряду модулів та розробити програму, яка відповідає, розширює та поглиблює ваші конкретні інтереси."
University of London,Велика Британія,Chemical Physics,Бакалавр,"9,500 £",Вересень ,?,3 роки,Денна,"Хімічна фізика - це область сучасної хімії, яка зачарує студентів, які користуються наукою, спільною для фізики та хімії. Ви отримаєте фундаментальне розуміння походження хімічної поведінки, одночасно досліджуючи захоплюючі розробки на стику хімії з іншими фізичними науками.
 

Ступінь переваги

Постійно вважаючись одним з найкращих хімічних факультетів Великобританії, ми пропонуємо вам чудову освіту з високими стандартами викладання.

Ви отримаєте вигоду від нашого видатного дослідницького профілю, оскільки вас викладають викладачі, які є експертами в широкому діапазоні хімічних галузей.

Кафедра має багату історію на стику хімії та фізики, тут є Центр обчислювальної хімії UCL та Центр космічної хімії та фізики.

Ми пропонуємо доступ до найсучасніших об'єктів, посилених нашою міцною приналежністю до інших центрів передового досвіду, таких як Лондонський центр нанотехнологій."
University of London,Велика Британія,Chemistry with Mathematics,Бакалавр,"9,500 £",Вересень ,?,3 роки,Денна,"Багато аспектів хімії, зокрема фізична та теоретична хімія, вимагають хорошого розуміння передових математичних методів. Бакалавр хімії з математикою пропонує можливість глибоко зрозуміти походження хімічної поведінки, одночасно досліджуючи захоплюючі розробки на стику хімії з іншими фізичними науками.
інфографічний заповнювач

Ступінь переваги

Постійно вважається одним з найкращих хімічних факультетів Великобританії, ми пропонуємо вам чудову освіту з високими стандартами викладання.

Ви отримаєте вигоду від нашого видатного дослідницького профілю, оскільки вас викладають викладачі, які є експертами в широкому діапазоні хімічних галузей.

Ви матимете можливість вибрати додаткові модулі з широкого асортименту, що доступні на високо цінуваній кафедрі математики UCL.

Ми пропонуємо доступ до найсучасніших об'єктів, посилених нашою міцною приналежністю до інших центрів передового досвіду, таких як Лондонський центр нанотехнологій."
University of London,Велика Британія,Civil Engineering (international programme),Бакалавр,"9,500 £",Вересень ,?,3 роки,Денна,"Ця трирічна програма охоплює всі основні галузі цивільного будівництва (конструкції, геотехніка, матеріали, рідини, проектування та зйомка), а також екскурсії по житлових приміщеннях. Ви виберете тему IEP Minor із широкого кола, що пропонується, включаючи інженерію довкілля, інженерію океанів, управління, фінанси та бухгалтерський облік, державну політику та програмування. (Зверніть увагу, всі теми можуть бути змінені)."
University of London,Велика Британія,Computer Science (international programme),Бакалавр,"9,500 £",Вересень ,?,3 роки,Денна,"Завдяки своїй сильній спрямованості на вирішення реальних проблем за допомогою проблемного навчання, ця бакалаврська школа забезпечує викладання, що відповідає галузі, світового класу. Програма забезпечує необхідний матеріал, який роботодавці очікують від високоякісного випускника інформатики, і готує вас до роботи у найрізноманітніших галузях промисловості."
University of London,Велика Британія,Earth Science (international programme),Бакалавр,"9,500 £",Вересень ,?,4 роки,Денна,"Ця чотирирічна програма дозволяє студентам слідувати будь-якій програмі MSci, запропонованій UCL Earth Sciences, з додатковою можливістю провести три роки навчання в затвердженому університеті в Австралії, Новій Зеландії, континентальній Європі, Китаї, Японії чи Північній Америці."
University of London,Велика Британія,"
Economics and Geography",Бакалавр,"9,500 £",Вересень ,?,3 роки,Денна,Економіка та географія наближаються до своїх проблем. Сфери розвитку та навколишнє середовище є наочними прикладами. Ця складна програма комбінованих досліджень покликана забезпечити студентів ґрунтовним обгрунтуванням теоретичних принципів та техніки застосування в обох областях.
University of London,Велика Британія,Electronic and Electrical Engineering,Бакалавр,"9,500 £",Вересень ,?,3 роки,Денна,"Інженери-електроніки та електрики винаходять і створюють технологію, яка характеризує сучасне високотехнологічне суспільство, починаючи від пристроїв та систем, що контролюють стан здоров'я та добробуту, та відновлюваної електричної енергії."
University of London,Велика Британія,Electronic and Electrical Engineering,Бакалавр,"9,500 £",Вересень ,?,4 роки,Денна,"Інженери-електроніки та електрики винаходять і створюють технологію, яка характеризує сучасне високотехнологічне суспільство, починаючи від пристроїв та систем, що контролюють стан здоров'я та добробуту, та відновлюваної електричної енергії."
University of London,Велика Британія,Engineering with Business Finance,Бакалавр,"9,500 £",Вересень ,?,4 роки,Денна,"Ця складна чотирирічна програма, призначена для отримання випускників машинобудування з чітким розумінням бухгалтерського обліку та ділової практики. Ці навички відповідають тим, які вимагає галузь, для випускників, яким, можливо, на ранній стадії кар’єри буде покладена значна управлінська відповідальність. Ця програма  дозволяє вам виконати освітні вимоги до статусу дипломованого інженера з однією кваліфікацією."
University of London,Велика Британія,Information Security,Магістратура,"£16,000",Вересень ,?,12 міс,Денна,"MSc з інформаційної безпеки пропонує спеціалізовану програму, розроблену для забезпечення фундаментального розуміння інформаційної безпеки та передачі практичних інженерних навичок. У висококваліфікованих фахівців з інформаційної безпеки є хороші перспективи, і в цій галузі бракує навченого персоналу."
University of London,Велика Британія,Space Science,Магістратура,"£12,500",Вересень ,?,12 міс,Денна,"Ця магістратура  надає студентам широке розуміння всіх аспектів космічної науки та космічних приладів, а також спеціалізоване навчання методам дослідження, безпосередньо застосовне до кар'єри в академічних колах, космічній галузі та державному секторі. Програму викладають всесвітньо визнані дослідники у цій галузі, яка надає студентам доступ до знань та досвіду, отриманих космічними вченими UCL протягом п’яти десятиліть."
University of London,Велика Британія,Computer Science,Магістратура,"£16,000",Вересень ,?,12 міс,Денна,"MSc з комп’ютерних наук забезпечує баланс між теорією комп’ютерних наук та практичними навичками розробки програмного забезпечення, включаючи командну роботу для промислових або дослідницьких клієнтів. Випускники доповнюють свій предмет першого ступеня знаннями з інформатики, що веде до міждисциплінарних виробничих позицій та наукових досліджень. Очікується, що студенти доповнять своє навчання додатковими дослідженнями та особистою роботою."
University of London,Велика Британія,Mathematical Modelling,Магістратура,"£12,500",Вересень ,?,12 міс,Денна,"Ця магістратура забезпечує ідеальну основу для студентів, які бажають розвивати свої навички математичного моделювання. Програма навчає студентів основним поняттям, що виникають у широкому діапазоні технічних та наукових проблем, та ілюструє, як їх можна застосовувати в дослідницькому контексті, щоб надати потужні рішення."
University of London,Велика Британія,Statistics,Магістратура,"£12,500",Вересень ,?,12 міс,Денна,"Навички статистичної науки є потужними інструментами, які відіграють важливу роль у всіх чистих та прикладних науках, а також у фінансах, комерції та медицині. Кількісна підготовка навичок, яку надає цей магістр, може призвести до нових захоплюючих можливостей у промисловості, охороні здоров’я, уряді, торгівлі чи наукових дослідженнях."
University of London,Велика Британія,Computational Statistics and Machine Learning,Магістратура,"£16,000",Вересень ,?,12 міс,Денна,"Ця магістратура викладає передові аналітичні та обчислювальні навички для досягнення успіху у світі, багатому на дані. Розроблена як математично сувора та відповідна, програма охоплює основні аспекти машинного навчання та статистики, а також потенційні варіанти пошуку інформації, біоінформатики, кількісного фінансування, штучного інтелекту та машинного зору."
University of London,Велика Британія,"Construction Economics and Management
",Магістратура,"£18,800",Вересень ,?,12 міс,Денна,"Ця програма надає випускникам навичок стати старшими менеджерами, політичними радниками та особами, які приймають рішення в будь-якій галузі будівельної галузі. Це також може забезпечити дослідників та викладачів у цих предметних областях професійним академічним розвитком."
University of London,Велика Британія,"Environment, Politics and Society",Магістратура,"£18,800",Вересень ,?,12 міс,Денна,"Навколишнє середовище, політика та суспільство надає особливу можливість дослідити, як наукові, політичні та культурні практики формують наше розуміння відносин суспільство-середовище. Ми розглянемо способи вплетення політики, влади та знань через геополітичні та екологічні практики більш складними способами, ніж це може запропонувати будь-яке звичайне рішення технічного управління.

Програма сприяє інтелектуальній взаємодії з концепціями соціальних наук, але грунтується на аналізі сучасних екологічних та геополітичних проблем та політики. Це розширить ваш спектр методів соціальних наук та особисті передані навички завдяки модулям та завданням, які включають есе, групову роботу, огляди книг, проектні пропозиції та усні презентації.

Магістр набирає різноманітне коло студентів з різних академічних професій та національностей, а це означає, що дискусії в малих групах зазвичай будуть жвавими та інформативними. Курс робить значний акцент на рівноправному навчанні, щоб ваша освіта стосувалася не лише формальних модулів, а й здатності вчитися та обмінюватися думками з іншими. Деякі з ваших однолітків будуть нещодавно отримані з різних програм бакалаврату, тоді як інші матимуть кілька років досвіду роботи."
University of London,Велика Британія,Information Science,Магістратура,"£12,500",Вересень ,?,12 міс,Денна,"Ця нещодавно переглянута програма призначена для обчислювальних та математично грамотних випускників, які бажають продовжити поглиблене вивчення сучасних підходів до інформатики. Акцент робиться як на сучасній галузевій практиці та теорії, так і на методах науки про дані та ймовірних майбутніх тенденціях у галузі штучного інтелекту, забезпечуючи тим самим випускників знаннями та навичками, необхідними для широкого кола кар’єрних шляхів у сферах інформації."
University of London,Велика Британія,"
Geospatial Sciences (Geographic Information Science and Computing) ",Магістратура,"£12,500",Вересень ,?,12 міс,Денна,"Магістратура геопросторових наук (ГІС та обчислювальна техніка) навчає студентів теорії, інструментам та методикам роботи з геопросторовими даними, від збору до обробки та аналізу. Студенти мають можливість залучати та співпрацювати з науковцями та промисловими партнерами над передовими дослідженнями за допомогою семінарів та дисертацій."
The University of Edinburgh,Велика Британія,Artificial Intelligence and Computer Science,Бакалавр,"£28,950",Вересень ,?,4 роки,Денна,"Штучний інтелект вивчає принципи та механізми, що лежать в основі інтелектуальних процесів у людей та інших живих організмів, і намагається застосувати такі знання для проектування комп’ютерних систем та розуміння природного інтелекту.

Комп’ютерні науки займаються розумінням, проектуванням, впровадженням та використанням обчислювальних систем, що варіюються за масштабом та складністю - від крихітних компонентів одного процесора до Інтернету, що охоплює земну кулю.

Суміші доповнюючих та перекриваючих аспектів роблять штучний інтелект та комп’ютерні науки гарною комбінацією ступенів."
The University of Edinburgh,Велика Британія,Software Engineering,Бакалавр,"£28,950",Вересень ,?,4 роки,Денна,"Вивчення програмної інженерії навчить вас писати гарне програмне забезпечення та надасть вам інженерні навички, необхідні для задоволення таких вимог, як надійність, ремонтопридатність, зручність використання та економічна ефективність.

Наша програма спрямована на практичне застосування обчислювальних наук, оскільки комп'ютерні системи збільшуються в розмірах і складності."
The University of Edinburgh,Велика Британія,Business Studies and Geography,Бакалавр,"£22,000",Вересень ,?,4 роки,Денна,"Бізнес та географія поєднує вивчення цілеспрямованих організацій з вивченням процесів та закономірностей людських та природних систем на земній поверхні та їх взаємодії.

Ця програма відображає глобальний, динамічний клімат сучасного бізнесу та управління, пропонуючи спеціалізовані курси в галузі бізнесу та географії."
The University of Edinburgh,Велика Британія,"
Chemical Engineering ",Бакалавр,"£28,950",Вересень ,?,4 роки,Денна,"Інженери-хіміки перетворюють сировину на матеріали та продукти, на які ми покладаємось. Починаючи з прісної води, яку ми п’ємо, і газу, що живить наші будинки, закінчуючи косметикою, фармацевтичними продуктами, продуктами харчування, кремнієвими чіпсами та навіть синтетичною шкірою, інженери-хіміки розробляють, розробляють та виробляють багато продуктів та матеріалів, які підтримують або покращують наше повсякденне життя.

Інженери-хіміки - новатори, яких можна знайти на передовій нових та нових технологій, таких як нанотехнології, уловлювання вуглецю та відновлювана енергія, а також вміло балансують економічні міркування з вимогами безпеки та довкілля.

Широкий характер хімічної інженерії відображається на широті курсів, пропонованих нашим студентам в рамках цієї програми. Якщо ви зацікавлені в математиці та хімії і хочете вирішити реальні проблеми, які впливають на все наше життя, хімічна інженерія може бути для вас."
The University of Edinburgh,Велика Британія,Chemistry,Бакалавр,"£28,950",Вересень ,?,4 роки,Денна,"Хімія - це наука про молекули - їх структуру, властивості, синтез і те, як вони взаємодіють між собою, створюючи нові молекули. Діапазон та компас величезні - від найпростіших сполук, таких як метан та хлорид натрію, до величезних і складних біологічних молекул, таких як ДНК та білки, які складають основу самого життя. Тому розуміння кожного аспекту науки, техніки та техніки забезпечується знаннями хімії.

Крім того, хімік 21 століття може зробити значний внесок у стійке, безпечне та здорове майбутнє майбутніх поколінь завдяки розробці ефективних відновлюваних джерел енергії, розумних матеріалів та приладів та цілеспрямованих лікарських терапій.

Ступінь хімії в Единбурзі забезпечує інтелектуальну основу для розуміння властивостей молекул від основних до меж сучасних досліджень. Він також сильно фокусується на широкому діапазоні аналітичних та експериментальних навичок, необхідних для практики предмета, та забезпечує розуміння досліджень за допомогою дослідницького проекту останнього року в наукових групах, що працюють на передовій темі."
